Paris Johnson Jr,24,70,78,313,84,Ohio State,2,ARI,LT
Pat Freiermuth,26,88,77,258,84,Penn State,4,PIT,TE
Rob Havenstein,33,79,80,330,84,Wisconsin,10,LAR,RT
Talanoa Hufanga,25,9,72,200,84,USC,4,DEN,SS
Taron Johnson,29,7,71,192,84,Weber State,7,BUF,CB
Travis Hunter,22,12,73,188,84,Colorado,0,JAX,CB
Trevon Diggs,27,7,74,195,84,Alabama,5,DAL,CB
Zach Frazier,24,54,75,310,84,West Virginia,1,PIT,C
Zach Sieler,29,92,78,305,84,Ferris State,7,MIA,DT
Alim McNeill,25,54,74,315,83,N.C. State,4,DET,DT
Andrew Van Ginkel,30,43,76,242,83,Wisconsin,6,MIN,RE
Ashton Jeanty,21,2,69,211,83,Boise State,0,LV,HB
Blake Cashman,29,51,73,237,83,Minnesota,6,MIN,MLB
Braden Smith,29,72,78,315,83,Auburn,7,IND,RT
Brandon Jones,27,22,73,191,83,Texas,5,DEN,FS
Charles Cross,24,67,77,311,83,Mississippi St.,3,SEA,LT
Chidobe Awuzie,30,3,72,202,83,Colorado,8,BLT,CB
Cooper DeJean,22,33,72,202,83,Iowa,1,PHI,CB
D.J. Reed Jr,28,4,69,188,83,Kansas State,7,DET,CB
Da'Ron Payne,28,94,75,320,83,Alabama,7,WAS,DT
Daiyan Henley,25,0,73,225,83,Wash. St.,2,LAC,ROLB
Damien Lewis,28,68,74,327,83,LSU,5,CAR,LG
De'Von Achane,23,28,69,188,83,Texas AM,2,MIA,HB
Deebo Samuel Sr,29,1,72,215,83,South Carolina,6,WAS,WR
Dominick Puni,25,77,77,320,83,Kansas,1,SF,RG
George Pickens,24,3,75,200,83,Georgia,3,DAL,WR
Hunter Henry,30,85,77,250,83,Arkansas,9,NE,TE
Isiah Pacheco,25,10,70,216,83,Rutgers,3,KC,HB
Jakobi Meyers,28,16,74,200,83,N.C. State,6,LV,WR
Jalen Pitre,26,5,71,198,83,Baylor,3,HST,FS
Jaquan Brisker,26,9,73,200,83,Penn State,3,CHI,SS
Jeremiah Owusu-Koramoah,25,6,74,221,83,Notre Dame,4,CLV,ROLB
Jeremy Chinn,27,11,75,220,83,S. Illinois,5,LV,SS
Jevon Holland,25,8,73,210,83,Oregon,4,,FS
Jimmie Ward,34,20,71,195,83,N. Illinois,11,HST,SS
Jonathan Greenard,28,58,75,263,83,Florida,5,MIN,LE
Jordan Love,26,10,76,219,83,Utah State,5,GB,QB
Kenny Clark,29,97,75,314,83,UCLA,9,GB,DT
Logan Cooke,30,9,77,230,83,Mississippi St.,7,JAX,P
Michael Dickson,29,4,74,208,83,Texas,7,SEA,P
Nick Bolton,25,32,71,237,83,Missouri,4,KC,MLB
Patrick Ricard,31,42,75,305,83,Maine,8,BLT,FB
Rashee Rice,25,4,74,203,83,SMU,2,KC,WR
Ryan Kelly,32,78,76,307,83,Alabama,9,MIN,C
Von Miller,36,24,75,250,83,Texas AM,14,WAS,RE
Braden Fiske,25,55,77,297,82,Florida State,1,LAR,DT
Calais Campbell,39,93,80,295,82,Miami,17,ARI,DT
Camryn Bynum,27,0,72,200,82,California,4,IND,SS
Cole Kmet,26,85,78,260,82,Notre Dame,5,CHI,TE
Corey Bojorquez,29,13,72,217,82,New Mexico,7,CLV,P
Darren Waller,32,83,78,245,82,Georgia Tech,8,MIA,TE
DeAndre Hopkins,33,10,73,212,82,Clemson,12,BLT,WR
Deommodore Lenoir,25,2,70,200,82,Oregon,4,SF,CB
DeShon Elliott,28,25,73,210,82,Texas,7,PIT,SS
Grady Jarrett,32,50,72,305,82,Clemson,10,CHI,DT
Harrison Butker,30,7,76,199,82,Georgia Tech,8,KC,K
J.K. Dobbins,26,27,70,212,82,Ohio State,5,DEN,HB
Jaelan Phillips,26,15,77,263,82,Miami,4,MIA,LE
Jameson Williams,24,1,74,189,82,Alabama,3,DET,WR
Joe Alt,22,76,81,321,82,Notre Dame,1,LAC,RT
John Simpson,28,76,76,324,82,Clemson,5,,LG
Josh Metellus,27,44,71,207,82,Michigan,5,MIN,SS
Kaden Elliss,30,55,74,238,82,Idaho,6,ATL,MLB
Khalil Shakir,25,10,72,190,82,Boise State,3,BUF,WR
Kyler Gordon,25,6,72,200,82,Washington,3,CHI,CB
Logan Wilson,29,55,74,245,82,Wyoming,5,CIN,MLB
Luke Goedeke,26,67,77,312,82,Central Michigan,3,TB,RT
Michael Pittman Jr,27,11,76,223,82,USC,5,IND,WR
Mike Onwenu,27,71,75,350,82,Michigan,5,NE,RG
Mike McGlinchey,30,69,80,315,82,Notre Dame,7,DEN,RT
Najee Harris,27,22,73,242,82,Alabama,4,LAC,HB
Odafe Oweh,26,99,77,257,82,Penn State,4,BLT,RE
Patrick Queen,26,6,72,237,82,LSU,5,PIT,MLB
Paulson Adebo,26,21,73,192,82,Stanford,4,,CB
Quincy Williams,29,56,71,225,82,Murray State,6,,ROLB
Rashan Gary,27,52,77,277,82,Michigan,6,GB,LE
Robert Spillane,29,14,73,229,82,W. Michigan,7,NE,ROLB
Robert Hunt,29,50,78,335,82,UL Lafayette,5,CAR,RG
Tank Dell,25,3,70,165,82,Houston,2,HST,WR
Travis Etienne Jr,26,1,70,215,82,Clemson,4,JAX,HB
Tre'von Moehrig,26,7,74,202,82,TCU,4,CAR,FS
Tua Tagovailoa,27,1,73,220,82,Alabama,5,MIA,QB
Abdul Carter,21,51,76,250,81,Penn State,0,,LE
Andrew DePaola,38,42,73,229,81,Rutgers,13,MIN,LS
Bradley Pinion,31,13,77,229,81,Clemson,10,ATL,P
Brian Robinson Jr,26,8,73,228,81,Alabama,3,WAS,HB
Bryan Anger,36,5,75,202,81,California,13,DAL,P
C.J. Stroud,23,7,75,218,81,Ohio State,2,HST,QB
Calvin Ridley,30,0,73,190,81,Alabama,7,TEN,WR
Cam Taylor-Britt,25,29,71,202,81,Nebraska,3,CIN,CB
Chase Brown,25,30,69,215,81,Illinois,2,CIN,HB
Christian Kirk,28,13,71,200,81,Texas AM,7,HST,WR
D'Andre Swift,26,4,69,215,81,Georgia,5,CHI,HB
Darnell Mooney,27,1,70,173,81,Tulane,5,ATL,WR
Ed Oliver,27,91,73,287,81,Houston,6,BUF,DT
Grant Delpit,26,9,75,208,81,LSU,5,CLV,SS
Greg Newsome II,25,0,72,192,81,Northwestern,4,CLV,CB
Jake Ferguson,26,87,77,255,81,Wisconsin,3,DAL,TE
